MPSH,1,20220113,20220209,OUT,MITSUBISHI,0100,,BXR-13-20-A-22,270,RMB,346.2,,1401,MPTJ,OUT,三菱电机,0140,1
MPSH,1,20220113,20220408,OUT,AMADA,1000,112233000,AK-185-AV,40,RMB,1193.97,,3101,MPJP,IN,天田机床,1030,2
MPSH,1,20220113,20220408,OUT,AMADA,1000,100124900,PE-250-P,40,RMB,2202.59,,3101,MPJP,IN,天田机床,1030,3
MPSH,1,20220113,20220408,OUT,AMADA,1000,080343100,2322V441K,30,RMB,281.9,,3101,MPJP,IN,天田机床,1030,4
MPSH,1,20220113,20220408,OUT,AMADA,1000,080339200,2322V521,45,RMB,187.93,,3101,MPJP,IN,天田机床,1030,5
MPSH,1,20220113,20220315,OUT,SUZHOU ZHENGYI,8000,,ALS-040AYN-16BHA-19BHA,500,RMB,63,,2202,MPTJ,OUT,世泽,1090,6
MPSH,1,20220113,20220120,OUT,ZHENGYI BEARING,8000,121375500,SFC-020DA2-6B-8B,4,RMB,130,,2301,MPTJ,OUT,中山鸿杰科技,1030,7
MPSH,1,20220113,20220120,OUT,ZHENGYI BEARING,8000,121324700,SFC-035DA2-12B-14B,4,RMB,155,,2301,MPTJ,OUT,中山鸿杰科技,1030,8
MPSH,1,20220113,20220124,OUT,RUJIANG-SHENZHENG,8000,121478200,SFC-040DA2-12B-19B,10,RMB,73,,2301,MPTJ,OUT,深圳轴心,1190,9
MPSH,1,20220113,20220401,OUT,BITPASS,8000,,SFS-08G-C-20H-25H LS=100,2,RMB,1383,,2302,MPJP,IN,沈阳旭星达,9001,10
MPSH,1,20220113,20220209,OUT,BITPASS,8000,,ALS-080ARN-25BHH-28BHH,1,RMB,253,,2202,MPTJ,OUT,沈阳旭星达,9001,11
MPSH,1,20220113,20220209,OUT,BITPASS,8000,,ALS-080ARN-20BHH-25BHH,2,RMB,253,,2202,MPTJ,OUT,沈阳旭星达,9001,12
MPSH,1,20220113,20220124,OUT,BITPASS,8000,123003100,SFC-080DA2-30B-35B,1,RMB,333,,2301,MPTJ,OUT,深圳楚控,1590,13
MPSH,1,20220113,20220124,OUT,BITPASS,8000,,ALS-080ARN-32BHA-38BHA,2,RMB,227,,2202,MPTJ,OUT,利穗科技,1820,14
MPSH,1,20220113,20220124,OUT,BITPASS,8000,123017700,SFC-090DA2-32B-38B,3,RMB,393,,2301,MPTJ,OUT,利穗科技,1820,15
MPSH,1,20220113,20220124,OUT,BITPASS,8000,123001000,SFC-080DA2-24B-32B,2,RMB,333,,2301,MPTJ,OUT,利穗科技,1820,16
MPSH,1,20220113,20220121,OUT,BITPASS,8000,121931700,SFC-050SA2-19B-19B,1,RMB,75,,2301,MPTJ,OUT,上海联泰,1190,17
MPSH,1,20220113,20220121,OUT,BITPASS,8000,121727700,SFC-035SA2-8B-14B,12,RMB,48,,2301,MPTJ,OUT,上海联泰,1190,18
MPSH,1,20220113,20220121,OUT,BITPASS,8000,121822200,SFC-060DA2-20B-24B,5,RMB,159,,2301,MPTJ,OUT,上海联泰,1190,19
MPSH,1,20220113,20220401,OUT,BITPASS,8000,131491300,SFF-100SS-35BJ-38BK-450N,15,RMB,1139,,2302,MPJP,IN,上海仕泽,9004,20
MPSH,1,20220113,20220119,OUT,BITPASS,8000,,ALS-055ARN-22BHA-25BHA,5,RMB,106,,2202,MPTJ,OUT,上海仕泽,9004,21
MPSH,1,20220113,20220124,OUT,BITPASS,8000,,ALS-080ARN-40BHA-40BHA,4,RMB,227,,2202,MPTJ,OUT,重庆贝尼旭,1090,22
MPSH,1,20220113,20220124,OUT,BITPASS,8000,,ALS-065ARN-25BHA-32BHA,2,RMB,143,,2202,MPTJ,OUT,重庆贝尼旭,1090,23
MPSH,1,20220113,20220117,OUT,BITPASS,8000,121454900,SFC-020DA2-8B-8B,2,RMB,58,,2301,MPTJ,OUT,杭州长川,1510,24
MPSH,1,20220113,20220119,OUT,BITPASS,8000,121852000,SFC-050SA2-19B-24B,4,RMB,75,,2301,MPTJ,OUT,上海联泰,1190,25
MPSH,1,20220113,20220119,OUT,BITPASS,8000,121478200,SFC-040DA2-12B-19B,4,RMB,73,,2301,MPTJ,OUT,上海联泰,1190,26
MPSH,1,20220113,20220119,OUT,BITPASS,8000,121437500,SFC-030DA2-10B-14B,4,RMB,61,,2301,MPTJ,OUT,上海联泰,1190,27
MPSH,1,20220113,20220119,OUT,BITPASS,8000,123824900,SFC-040DA2-13B-16B,12,RMB,73,,2301,MPTJ,OUT,上海联泰,1190,28
MPSH,1,20220113,20220119,OUT,BITPASS,8000,121437500,SFC-030DA2-10B-14B,6,RMB,61,,2301,MPTJ,OUT,上海联泰,1190,29
MPSH,1,20220113,20220119,OUT,BITPASS,8000,121386100,SFC-030DA2-8B-14B,3,RMB,61,,2301,MPTJ,OUT,上海联泰,1190,30
MPSH,1,20220113,20220119,OUT,BITPASS,8000,121386100,SFC-030DA2-8B-14B,6,RMB,61,,2301,MPTJ,OUT,上海联泰,1190,31
MPSH,1,20220113,20220214,OUT,BINGZHAO,8000,121824100,SFC-010SA2-4B-5B,40,RMB,82,,2301,MPTJ,OUT,上海鸣志派,9099,32
MPSH,1,20220113,20220318,OUT,BITPASS,8000,104653900,SFS-09S-25M-25M,2,RMB,810,,2302,MPJP,IN,上海铭沣,1190,33
MPSH,1,20220113,20220120,OUT,ZHENGYI BEARING,8000,,SFC-050DA2-18BH-24BH,4,RMB,265,,2301,MPTJ,OUT,利元亨,1290,34
MPSH,1,20220113,20220310,OUT,KAMPF,8000,675738,315.090.2.1(675738),20,RMB,360,,1501,其他,OUT,康甫机械,9090,35
MPSH,1,20220113,20220128,OUT,FTS-SHENZHENG,8000,121880600,SFC-020SA2-7B-8B,300,RMB,58,,2301,MPTJ,OUT,台诠,1210,36
MPSH,1,20220113,20220217,OUT,FTS-SHENZHENG,8000,121880600,SFC-020SA2-7B-8B,200,RMB,58,,2301,MPTJ,OUT,台诠,1210,37
MPSH,1,20220113,20220128,OUT,FTS-SHENZHENG,8000,121461600,SFC-030SA2-10B-14B,500,RMB,61,,2301,MPTJ,OUT,台诠,1210,38
MPSH,1,20220113,20220224,OUT,FTS-SHENZHENG,8000,121461600,SFC-030SA2-10B-14B,500,RMB,61,,2301,MPTJ,OUT,台诠,1210,39
MPSH,2,20220113,20211110,OUT,ACE,8000,123143100,PSL-D-40,5,RMB,521,,2602,MPTJ,OUT,,,1
MPSH,2,20220113,20211124,OUT,ACE,8000,123143100,PSL-D-40,12,RMB,521,,2602,MPTJ,OUT,,,2
MPSH,2,20220113,20220112,OUT,ACE,8000,123143100,PSL-D-40,40,RMB,521,,2602,MPTJ,OUT,,,3
MPSH,2,20220113,20220112,OUT,ACE,8000,123149600,PSL-K-8,4,RMB,123,,2602,MPTJ,OUT,,,4
