据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,2,20211228,20220106,OUT,TOYO AUTOMATION,8000,121700300,SFC-030DA2-10B-10B,10,RMB,67.097,,2301,MPTJ,OUT,东佑达,1210,1
MPSH,2,20211228,20211231,OUT,NICHIDEN,8000,121436900,SFC-030SA2-8B-8B,1,RMB,113,,2301,MPTJ,OUT,TOWA半导体,1190,2
MPSH,2,20211228,20220429,OUT,NICHIDEN,8000,121436900,SFC-030SA2-8B-8B,30,RMB,113,,2301,MPTJ,OUT,TOWA半导体,1190,3
MPSH,2,20211228,20220407,OUT,NICHIDEN,8000,104424100,CF-A-250-O0-1360,2,RMB,2280,,2101,MPJP,IN,罗姆半导体,1190,4
MPSH,2,20211228,20211229,,GZJUSONG,8000,121931100,SFC-050SA2-14B-24B,1,RMB,251,,2301,MPTJ,OUT,广州巨松,9004,5
MPSH,2,20211228,20220215,OUT,NICHIDEN,8000,121848700,SFC-060SA2-18B-22B,100,RMB,190,,2301,MPTJ,OUT,牧野机床,1030,6
MPSH,2,20211228,20211217,OUT,ANSEN,8000,106508900,TT-2X-03-16-15NM-P,10,RMB,1230,,3105,MPJP,IN,,,7
MPSH,2,20211228,20220107,OUT,ANSEN,8000,130051000,SFC-055DA2-14B-15B,1,RMB,309,,2301,MPJP,IN,,,8
MPSH,2,20211228,20220104,OUT,OKUMA,1000,121412300,SFF-080SS-30K-35KS,45,RMB,366,,2302,MPTJ,OUT,北一大隈,1090,9
MPSH,2,20211228,20220125,OUT,OKUMA,1000,121412300,SFF-080SS-30K-35KS,66,RMB,366,,2302,MPTJ,OUT,北一大隈,1090,10
MPSH,2,20211228,20220301,OUT,THK,1000,,SFC-060DA2-25B-35J,1,RMB,397,,2301,MPTJ,OUT,THK(常州）,0290,11
MPSH,2,20211228,20220404,OUT,THK,1000,,SFC-060DA2-25B-35J,1,RMB,397,,2301,MPTJ,OUT,THK(常州）,0290,12
MPSH,2,20211228,20220310,OUT,YONGFUWANG-SHENZHENG,8000,,SFF-100DS-42KK-45KK,3,RMB,642,,2302,MPTJ,OUT,捷控,1130,13
MPSH,2,20211228,20220105,OUT,ACE,8000,,PE-124-MAT-15K,5,RMB,215,,3101,MPTJ,OUT,,,14
MPSH,2,20211228,20220105,OUT,ACE,8000,,CS-12-33N 24V 25DIN,1,RMB,344,,1301,MPTJ,OUT,,,15
MPSH,2,20211228,20220105,OUT,ACE,8000,,ALS-065ARN-25BHA-32BHA,2,RMB,143,,2202,MPTJ,OUT,,,16
MPSH,2,20211228,20211229,OUT,ACE,8000,121931100,SFC-050SA2-14B-24B,2,RMB,167,,2301,MPTJ,OUT,,,17
MPSH,2,20211228,20220105,OUT,ACE,8000,123008100,SFC-080SA2-32B-32B,1,RMB,264,,2301,MPTJ,OUT,,,18
MPSH,2,20211228,20220105,OUT,ACE,8000,121436900,SFC-030SA2-8B-8B,6,RMB,97,,2301,MPTJ,OUT,,,19
MPSH,2,20211228,20220105,OUT,ACE,8000,121843400,SFC-040SA2-8B-14B,4,RMB,118,,2301,MPTJ,OUT,,,20
MPSH,2,20211228,20220107,OUT,ACE,8000,103548600,546-23-34-NF 24V 30DIN,8,RMB,5350,,1501,MPJP,IN,,,21
MPSH,2,20211228,20211203,OUT,ACE,8000,033021500,SD-100-50L,18,RMB,439,,3107,MPJP,IN,,,22
MPSH,2,20211228,20211217,OUT,ACE,8000,129710800,SFF-120DS-50K-50K-600N,2,RMB,1465,,2302,MPJP,IN,,,23
MPSH,2,20211228,20211217,OUT,ACE,8000,129799800,SFF-140DS-50K-50K-1000N,4,RMB,1772,,2302,MPJP,IN,,,24
MPSH,2,20211228,20220302,OUT,ACE,8000,,AK-155-MAB-28N,20,RMB,220,,3101,MPTJ,OUT,四川青城,9003,25
MPSH,2,20211228,20220107,OUT,ACE,8000,100071200,AK-125-AN-19N,1,RMB,1026,,3101,MPJP,IN,,,26
MPSH,2,20211228,20220121,OUT,ACE,8000,110857100,CPE-19-8B-8B,15,RMB,212,,2901,MPJP,IN,,,27
MPSH,2,20211228,20211229,OUT,ACE,8000,,SFC-020DA2-6B-9K,3,RMB,118,,2301,MPTJ,OUT,,,28
MPSH,2,20211228,20211229,OUT,ACE,8000,121817600,SFC-035DA2-12B-16B,17,RMB,141,,2301,MPTJ,OUT,,,29
MPSH,2,20211228,20211229,OUT,ACE,8000,,SFF-090SS-32KK-32KK,8,RMB,410,,2302,MPTJ,OUT,,,30
MPSH,2,20211228,20211229,OUT,ACE,8000,,ALS-055ARN-22BHA-24BHA,50,RMB,106,,2202,MPTJ,OUT,,,31
MPSH,2,20211228,20220204,OUT,ACE,8000,129787600,SFF-140DS-50K-55K-1000N,1,RMB,1772,,2302,MPJP,IN,,,32
MPSH,2,20211228,20220105,OUT,ACE,8000,,SFC-050DA2-19B-22K,2,RMB,225,,2301,MPTJ,OUT,,,33
MPSH,2,20211228,20211020,OUT,ACE,8000,,SFF-100DS-38KK-38KK,50,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,34
MPSH,2,20211228,20220204,OUT,ACE,8000,129905900,SFF-120SS-40KK-55K-600N,1,RMB,672,,2302,MPJP,IN,宁波海天,1010,35
MPSH,2,20211228,20211208,OUT,ACE,8000,,SFF-100DS-38KK-38KK,100,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,36
MPSH,2,20211228,20211208,OUT,ACE,8000,,SFF-100DS-38KK-38KK,100,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,37
MPSH,2,20211228,20211103,OUT,ACE,8000,,SFF-100DS-38KK-38KK,50,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,38
MPSH,2,20211228,20220121,OUT,ACE,8000,129812300,BEM-24ESN12-120N with inspection report,200,RMB,50,,1901,MPJP,IN,新产业生物,1420,39
MPSH,2,20211228,20210720,OUT,POLYSTAR,1900,,MR-J4-70B,20,RMB,2492.0354,,3401,其他,OUT,包利思特,1910,40
MPSH,2,20211228,20210720,OUT,POLYSTAR,1900,,MR-J3ENCBL5M-A1-L,20,RMB,97.3451,,3302,其他,OUT,包利思特,1910,41
MPSH,2,20211228,20220106,OUT,TOYO AUTOMATION,8000,125720500,SFC-030SA2-10B-16B,5,RMB,37.098,,2301,MPTJ,OUT,东佑达,1210,42
MPSH,2,20211228,20220106,OUT,TOYO AUTOMATION,8000,121880300,SFC-020SA2-6B-7B,20,RMB,34.5045,,2301,MPTJ,OUT,东佑达,1210,43
MPSH,2,20211228,20220211,OUT,RICHI,8000,105655300,SE-18,3,RMB,254,,2503,MPJP,IN,东莞日驰,9004,44
MPSH,2,20211228,20211217,OUT,ANSEN,8000,108922900,NSS 13.9.14,1,RMB,4253,,2902,MPJP,IN,杭州轻工业,2320,45
MPSH,2,20211228,20220107,OUT,ANSEN,8000,108922900,NSS 13.9.14,2,RMB,4253,,2902,MPJP,IN,杭州轻工业,2320,46
MPSH,2,20211228,20220204,OUT,ANSEN,8000,108922900,NSS 13.9.14,1,RMB,4253,,2902,MPJP,IN,杭州轻工业,2320,47
MPSH,2,20211228,20220218,OUT,ANSEN,8000,108922900,NSS 13.9.14,3,RMB,4253,,2902,MPJP,IN,杭州轻工业,2320,48
MPSH,2,20211228,20220218,OUT,ANSEN,8000,104482200,CF-A-028-O0-1360,20,RMB,215,,2101,MPJP,IN,小松（山东）,0510,49
MPSH,2,20211228,20220107,OUT,ANSEN,8000,123412100,ETP-A-20,100,RMB,187,,2601,MPJP,IN,广州思肯德,9099,50
MPSH,2,20211228,20220107,OUT,ANSEN,8000,130087400,SFM-070SS-20B-20B-100N-G2.5/24000,2,RMB,1674,,2302,MPJP,IN,,,51
MPSH,2,20211228,20220204,OUT,ANSEN,8000,121091800,SFS-08S-22M-24M,3,RMB,663,,2302,MPJP,IN,,,52
MPSH,2,20211228,20220204,OUT,ANSEN,8000,105644100,ETP-A-38,20,RMB,433,,2601,MPJP,IN,,,53
MPSH,2,20211228,20211210,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,260,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,54
MPSH,2,20211228,20211210,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,40,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,55
MPSH,2,20211228,20211210,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,40,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,56
MPSH,2,20211228,20211210,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,60,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,57
MPSH,2,20211228,20211210,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,60,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,58
MPSH,2,20211228,20211216,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,40,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,59
MPSH,2,20211228,20211224,OUT,MITSUBISHI,0100,128884000,BXW-03-10-82,20,RMB,146.15,,1201,MPTW,OUT,三菱电机,0140,60
MPSH,2,20211228,20211224,OUT,MITSUBISHI,0100,128884000,BXW-03-10-82,20,RMB,146.15,,1201,MPTW,OUT,三菱电机,0140,61
MPSH,2,20211228,20211224,OUT,MITSUBISHI,0100,128884000,BXW-03-10-82,20,RMB,146.15,,1201,MPTW,OUT,三菱电机,0140,62
MPSH,2,20211228,20220104,OUT,MITSUBISHI,0100,,BXR-09-20-A-22,540,RMB,235.6,,1401,MPTJ,OUT,三菱电机,0140,63
MPSH,2,20211228,20220111,OUT,MITSUBISHI,0100,,BXR-09-20-A-22,540,RMB,235.6,,1401,MPTJ,OUT,三菱电机,0140,64
MPSH,2,20211228,20220125,OUT,OKUMA,1000,121365600,SFF-080SS-22K-35KS,14,RMB,366,,2302,MPTJ,OUT,北一大隈,1090,65
MPSH,2,20211228,20220104,OUT,OKUMA,1000,121365600,SFF-080SS-22K-35KS,1,RMB,366,,2302,MPTJ,OUT,北一大隈,1090,66
MPSH,2,20211228,20220130,OUT,DAIDO-ROBOT,8000,129014500,ETP-E-035-NH,2,RMB,816,,2601,MPJP,IN,无锡普利司通,0990,67
MPSH,2,20211228,20220107,OUT,ACE,8000,128745000,BXR-020-10LE-014,15,RMB,400,,1201,MPJP,IN,,,68
MPSH,2,20211228,20220302,OUT,ACE,8000,,PE-185-MAT-25H,20,RMB,270,,3101,MPTJ,OUT,富豪木工,9003,69
MPSH,2,20211228,20220105,OUT,ACE,8000,,P-106-MA-19（28KG弹簧）,42,RMB,150,,3101,MPTJ,OUT,上海焱德,1810,70
MPSH,2,20211228,20220121,OUT,ACE,8000,108922900,NSS 13.9.14,1,RMB,5750,,2902,MPJP,IN,,,71
MPSH,2,20211228,20220105,OUT,ACE,8000,123132400,SFC-035DA2-9.525B-15B,15,RMB,141,,2301,MPTJ,OUT,,,72
MPSH,2,20211228,20220301,OUT,ACE,8000,660154,546.21.3.7（660154）,5,RMB,6700,,1501,其他,OUT,上海骏博,9090,73
MPSH,2,20211228,20220220,OUT,ACE,8000,128575400,SFF-120DS-48B-55BM-600N,120,RMB,998,,2302,MPJP,IN,青岛高测,1010,74
MPSH,2,20211228,20220115,OUT,ACE,8000,128575400,SFF-120DS-48B-55BM-600N,120,RMB,998,,2302,MPJP,IN,青岛高测,1010,75
MPSH,2,20211228,20211229,OUT,ACE,8000,,SFC-050SA2-15B-19K,56,RMB,133,,2301,MPTJ,OUT,青岛高测,1010,76
MPSH,2,20211228,20211229,OUT,ACE,8000,121733000,SFC-060DA2-20B-25B,10,RMB,238,,2301,MPTJ,OUT,青岛高测,1010,77
MPSH,2,20211228,20211229,OUT,ACE,8000,121733000,SFC-060DA2-20B-25B,45,RMB,238,,2301,MPTJ,OUT,青岛高测,1010,78
MPSH,2,20211228,20211229,OUT,ACE,8000,,SFC-050SA2-15B-19K,2,RMB,133,,2301,MPTJ,OUT,青岛高测,1010,79
MPSH,2,20211228,20220204,OUT,ACE,8000,128575400,SFF-120DS-48B-55BM-600N,120,RMB,949,,2302,MPJP,IN,青岛高测,1010,80
MPSH,2,20211228,20211222,OUT,ACE,8000,,ALS-065ARN-35BHA-35BHA,22,RMB,114,,2202,MPTJ,OUT,宁波海天,1010,81
MPSH,2,20211228,20220106,OUT,TOYO AUTOMATION,8000,121347500,SFC-040SA2-12B-16B,10,RMB,41.593,,2301,MPTJ,OUT,东佑达,1210,82
MPSH,2,20211228,20221220,OUT,TOYO AUTOMATION,8000,121318400,SFC-030SA2-8B-10B,19,RMB,37.0974,,2301,MPTJ,OUT,东佑达,1210,83
MPSH,2,20211228,20220201,OUT,ANSEN,8000,662267,546.15.3.4(662267),30,RMB,2850,,1501,其他,OUT,青岛软控,0910,84
MPSH,2,20211228,20220430,OUT,ANSEN,8000,,CPG-030-T007A-07,10000,RMB,15,,2901,MPTJ,OUT,南京埃斯顿,0140,85
MPSH,2,20211228,20220131,OUT,ANSEN,8000,,BXH-16-10N-03,300,RMB,560,,1401,MPTJ,OUT,南京埃斯顿,0140,86
MPSH,2,20211228,20220107,OUT,ANSEN,8000,122647600,121-10-20G,2,RMB,2075,,1302,MPJP,IN,,,87
MPSH,2,20211228,20211227,OUT,ANSEN,8000,122740600,ALS-040-R,500,RMB,52,,2202,MPTJ,OUT,,,88
MPSH,2,20211228,20220218,OUT,ANSEN,8000,108922700,NSS 7.3.7,2,RMB,2885,,2902,MPJP,IN,,,89
MPSH,2,20211228,20220104,OUT,OKUMA,1000,123154200,PSL-K-25-B,7,RMB,243,,2602,MPTJ,OUT,北一大隈,1090,90
MPSH,2,20211228,20220104,OUT,OKUMA,1000,123948400,PSL-G-70,7,RMB,550,,2602,MPTJ,OUT,北一大隈,1090,91
MPSH,2,20211228,20220125,OUT,OKUMA,1000,123948400,PSL-G-70,10,RMB,550,,2602,MPTJ,OUT,北一大隈,1090,92
MPSH,2,20211228,20220217,OUT,OKUMA,1000,123154200,PSL-K-25-B,10,RMB,243,,2602,MPTJ,OUT,北一大隈,1090,93
MPSH,2,20211228,20220104,OUT,OKUMA,1000,123154200,PSL-K-25-B,1,RMB,243,,2602,MPTJ,OUT,北一大隈,1090,94
MPSH,2,20211228,20220217,OUT,OKUMA,1000,123154200,PSL-K-25-B,1,RMB,243,,2602,MPTJ,OUT,北一大隈,1090,95
MPSH,2,20211228,20220104,OUT,OKUMA,1000,123948400,PSL-G-70,1,RMB,550,,2602,MPTJ,OUT,北一大隈,1090,96
MPSH,2,20211228,20220105,OUT,ACE,8000,,SFC-040DA2-19BH-20BH,3,RMB,181,,2301,MPTJ,OUT,,,97
MPSH,2,20211228,20220105,OUT,ACE,8000,121913400,SFC-060SA2-24B-25B,48,RMB,258,,2301,MPTJ,OUT,,,98
MPSH,2,20211228,20211229,OUT,ACE,8000,,ALS-080ARN-35BHA-35BHA,50,RMB,155,,2202,MPTJ,OUT,莆田庆川,1090,99
MPSH,2,20211228,20220107,OUT,ACE,8000,028033000,ACRM-100 8-8,2,RMB,136,,2501,MPJP,IN,,,100
MPSH,2,20211228,20220121,OUT,ACE,8000,028033400,ACRM-100 8-6.35,5,RMB,136,,2501,MPJP,IN,,,101
MPSH,2,20211228,20220121,OUT,ACE,8000,110088000,MM-16K-S,4,RMB,484,,2502,MPJP,IN,,,102
MPSH,2,20211228,20220121,OUT,ACE,8000,122647600,121-10-20G,1,RMB,2075,,1302,MPJP,IN,,,103
MPSH,2,20211228,20211229,OUT,ACE,8000,121945500,SFC-050DA2-15B-18B,2,RMB,225,,2301,MPTJ,OUT,,,104
MPSH,2,20211228,20220105,OUT,ACE,8000,,ALS-080ARN-35BHA-38BKA,2,RMB,227,,2202,MPTJ,OUT,,,105
MPSH,2,20211228,20211119,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,30,RMB,758,,2302,MPJP,IN,宁波海天,1010,106
MPSH,2,20211228,20211217,OUT,ACE,8000,126079400,SRG-070DS-35K-35K,15,RMB,350,,2303,MPJP,IN,宁波海天,1010,107
MPSH,2,20211228,20220107,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,30,RMB,758,,2302,MPJP,IN,宁波海天,1010,108
MPSH,2,20211228,20220107,OUT,ACE,8000,126079400,SRG-070DS-35K-35K,30,RMB,350,,2303,MPJP,IN,宁波海天,1010,109
MPSH,2,20211228,20220107,OUT,ACE,8000,129875500,SFF-120DS-35K-35K-600N,40,RMB,876,,2302,MPJP,IN,济南二机床,1010,110
MPSH,2,20211228,20211119,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,10,RMB,758,,2302,MPJP,IN,宁波海天,1010,111
MPSH,2,20211228,20211203,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,40,RMB,758,,2302,MPJP,IN,宁波海天,1010,112
MPSH,2,20211228,20211203,OUT,ACE,8000,129832400,SFF-140DS-40KK-55K-800N,40,RMB,758,,2302,MPJP,IN,宁波海天,1010,113
MPSH,2,20211228,20220107,OUT,ACE,8000,126079400,SRG-070DS-35K-35K,10,RMB,350,,2303,MPJP,IN,宁波海天,1010,114
MPSH,2,20211228,20220121,OUT,ACE,8000,126079400,SRG-070DS-35K-35K,50,RMB,350,,2303,MPJP,IN,宁波海天,1010,115
MPSH,2,20211228,20211222,OUT,ACE,8000,,SFC-050SA2-T081,100,RMB,100,,2301,MPTJ,OUT,西安北村,1010,116
MPSH,2,20211228,20220105,OUT,ACE,8000,,ALS-065ARN-32BKA-35BHA,5,RMB,143,,2202,MPTJ,OUT,宁波海天,1010,117
MPSH,2,20211228,20210720,OUT,POLYSTAR,1900,,MR-PWS1CBL2M-A1-L,60,RMB,78.7611,,3302,其他,OUT,包利思特,1910,118
MPSH,2,20211228,20210730,OUT,POLYSTAR,1900,,MR-PWS1CBL2M-A1-L,20,RMB,78.7611,,3302,其他,OUT,包利思特,1910,119
MPSH,2,20211228,20210730,OUT,POLYSTAR,1900,,MR-PWS1CBL2M-A1-L,3,RMB,78.7611,,3302,其他,OUT,包利思特,1910,120
MPSH,2,20211228,20211120,OUT,POLYSTAR,1900,,MR-PWS1CBL2M-A1-L,10,RMB,78.7611,,3302,其他,OUT,包利思特,1910,121
MPSH,2,20211228,20220130,OUT,POLYSTAR,1900,,FR-D720-0.4K,5,RMB,575.2212,,3301,其他,OUT,包利思特,1910,122
MPSH,2,20211228,20220301,OUT,NICHIDEN,8000,128747800,BXR-025-10LE-032,200,RMB,198,,1201,MPJP,IN,东莞新友智能,9099,123
MPSH,2,20211228,20211217,OUT,ANSEN,8000,108922800,NSS 10.9.12,3,RMB,3200,,2902,MPJP,IN,安庆恒昌,1640,124
MPSH,2,20211228,20220221,OUT,ANSEN,8000,122740600,ALS-040-R,500,RMB,52,,2202,MPJP,IN,,,125
MPSH,2,20211228,20211220,OUT,ANSEN,8000,,SFF-090DS-35K-42K,30,RMB,462,,2302,MPTJ,OUT,,,126
MPSH,2,20211228,20211213,OUT,ANSEN,8000,122681800,SFF-090SS-32K-35K,20,RMB,410,,2302,MPTJ,OUT,,,127
MPSH,2,20211228,20220121,OUT,ANSEN,8000,123434700,CS-16-35G 24V R30DIN A30DIN,2,RMB,2050,,1301,MPJP,IN,,,128
MPSH,2,20211228,20220121,OUT,ANSEN,8000,105659100,RSE-15,8,RMB,289,,2503,MPJP,IN,,,129
MPSH,2,20211228,20220103,OUT,ANSEN,8000,121809900,SFC-060SA2-28B-28B,2,RMB,258,,2301,MPTJ,OUT,,,130
MPSH,2,20211228,20220103,OUT,ANSEN,8000,121945800,SFC-050DA2-22B-22B,3,RMB,204,,2301,MPTJ,OUT,山东鲁南,1010,131
MPSH,2,20211228,20220104,OUT,OKUMA,1000,125242800,SRG-060AS-35K-35KS,15,RMB,171,,2303,MPTJ,OUT,北一大隈,1090,132
MPSH,2,20211228,20220104,OUT,OKUMA,1000,123146000,PSL-G-30,4,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,133
MPSH,2,20211228,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,6,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,134
MPSH,2,20211228,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,1,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,135
MPSH,2,20211228,20220125,OUT,OKUMA,1000,125242800,SRG-060AS-35K-35KS,39,RMB,171,,2303,MPTJ,OUT,北一大隈,1090,136
MPSH,2,20211228,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,3,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,137
MPSH,2,20211228,20220104,OUT,OKUMA,1000,125242800,SRG-060AS-35K-35KS,8,RMB,171,,2303,MPTJ,OUT,北一大隈,1090,138
MPSH,2,20211228,20220104,OUT,OKUMA,1000,125242800,SRG-060AS-35K-35KS,3,RMB,171,,2303,MPTJ,OUT,北一大隈,1090,139
MPSH,2,20211228,20220301,OUT,THK,1000,127086100,SFF-060SS-16B-16B-60N,1,RMB,1007,,2302,MPJP,IN,THK（常州）,0290,140
MPSH,2,20211228,20220404,OUT,THK,1000,127086100,SFF-060SS-16B-16B-60N,1,RMB,1007,,2302,MPJP,IN,THK（常州),0290,141
MPSH,2,20211228,20220114,OUT,DAIDO-ROBOT,8000,104653900,SFS-09S-25M-25M,6,RMB,1053,,2302,MPJP,IN,浙江芯晖,1140,142
MPSH,2,20211228,20220225,OUT,DAIDO-ROBOT,8000,104653900,SFS-09S-25M-25M,2,RMB,1053,,2302,MPJP,IN,浙江芯晖,1140,143
MPSH,2,20211228,20220105,OUT,ACE,8000,,111-08-11N 24V 15DIN,1,RMB,140,,1301,MPTJ,OUT,,,144
MPSH,2,20211228,20220105,OUT,ACE,8000,123141000,PSL-D-8,12,RMB,152,,2602,MPTJ,OUT,,,145
MPSH,2,20211228,20220204,OUT,ACE,8000,105646700,ETP-A-55,1,RMB,826,,2601,MPJP,IN,,,146
MPSH,2,20211228,20211208,OUT,ACE,8000,122740600,ALS-040-R,2,RMB,52,,2202,MPJP,IN,,,147
MPSH,2,20211228,20220105,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,1,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,148
MPSH,2,20211228,20211201,OUT,ACE,8000,,SFF-090SS-35K-40KK,30,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,149
MPSH,2,20211228,20211203,OUT,ACE,8000,126813500,SFH-190S-T015,24,RMB,2509,,2302,MPJP,IN,宁波海天,1010,150
MPSH,2,20211228,20211103,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,151
MPSH,2,20211228,20211124,OUT,ACE,8000,,SFF-090SS-35K-40KK,25,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,152
MPSH,2,20211228,20211215,OUT,ACE,8000,125242800,SRG-060AS-35K-35KS,40,RMB,159,,2303,MPTJ,OUT,宁波海天,1010,153
MPSH,2,20211228,20220121,OUT,ACE,8000,126813500,SFH-190S-T015,8,RMB,2509,,2302,MPJP,IN,宁波海天,1010,154
MPSH,2,20211228,20211229,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,155
MPSH,2,20211228,20211229,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,50,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,156
MPSH,2,20211228,20220105,OUT,ACE,8000,,SFF-090SS-35K-40KK,15,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,157
MPSH,2,20211228,20220105,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,158
MPSH,2,20211228,20220107,OUT,ACE,8000,105636700,ETP-T-40,20,RMB,991,,2601,MPJP,IN,天津金桥,9092,159
MPSH,2,20211228,20210720,OUT,POLYSTAR,1900,,HG-KR23J,20,RMB,1130.0885,,3401,其他,OUT,包利思特,1910,160
MPSH,2,20211228,20210730,OUT,POLYSTAR,1900,,HG-KR23J,20,RMB,1130.0885,,3401,其他,OUT,包利思特,1910,161
MPSH,2,20211228,20210730,OUT,POLYSTAR,1900,,HG-KR23J,2,RMB,1130.0885,,3401,其他,OUT,包利思特,1910,162
MPSH,2,20211228,20211120,OUT,POLYSTAR,1900,,HG-KR23J,10,RMB,1130.0885,,3401,其他,OUT,包利思特,1910,163
MPSH,2,20211228,20221220,OUT,TOYO AUTOMATION,8000,121722200,SFC-040SA2-12B-19B,598,RMB,41.5929,,2301,MPTJ,OUT,东佑达,1210,164
MPSH,2,20211228,20211231,OUT,NICHIDEN,8000,104504100,CF-B-070,2,RMB,234,,2101,MPJP,IN,杭州藤久寿,0610,165
MPSH,2,20211228,20220211,OUT,RICHI,8000,105660700,N-18-40S,3,RMB,133,,2503,MPJP,IN,东莞日驰,9004,166
MPSH,2,20211228,20220218,OUT,ANSEN,8000,129013500,ETP-E-015-NH,200,RMB,310,,2601,MPJP,IN,扬州锻压,1020,167
MPSH,2,20211228,20220204,OUT,ANSEN,8000,104535400,SFS-05W,5,RMB,572,,2302,MPJP,IN,,,168
MPSH,2,20211228,20211217,OUT,ANSEN,8000,111948300,SFS-14G 55H-55H,10,RMB,2446,,2302,MPJP,IN,,,169
MPSH,2,20211228,20220315,OUT,ANSEN,8000,,SFF-100DS-38K-42K,2,RMB,558,,2302,MPTJ,OUT,,,170
MPSH,2,20211228,20211217,OUT,ANSEN,8000,121900500,BXH-10-10G 24V 19DIN,9,RMB,548,,1401,MPJP,IN,,,171
MPSH,2,20211228,20220107,OUT,ANSEN,8000,104535400,SFS-05W,4,RMB,572,,2302,MPJP,IN,,,172
MPSH,2,20211228,20220107,OUT,ANSEN,8000,121030200,ETP-A-15-R,1,RMB,821,,2601,MPJP,IN,,,173
MPSH,2,20211228,20220131,OUT,ANSEN,8000,128623900,SFF-100DS-55K-55KM,2,RMB,558,,2302,MPTJ,OUT,,,174
MPSH,2,20211228,20220115,OUT,ANSEN,8000,121399700,SFC-050DA2-22B-24B,2,RMB,204,,2301,MPTJ,OUT,山东鲁南,1010,175
MPSH,2,20211228,20220130,OUT,KAMPF,8000,664301,587.15.3.1(664301),2,RMB,3800,,1501,其他,OUT,康甫机械,9090,176
MPSH,2,20211228,20220304,OUT,DAIDO-ROBOT,8000,124949300,SFS-10S-25M-32H,4,RMB,919,,2302,MPJP,IN,喜开理,1910,177
MPSH,2,20211228,20220104,OUT,RUJIANG-SHENZHENG,8000,121722200,SFC-040SA2-12B-19B,99,RMB,53,,2301,MPTJ,OUT,东莞科隆威,1190,178
MPSH,2,20211228,20211228,OUT,RUJIANG-SHENZHENG,8000,121304800,SFC-030SA2-5B-11B,4,RMB,43,,2301,MPTJ,OUT,深圳世宗,1190,179
MPSH,2,20211228,20220104,OUT,RUJIANG-SHENZHENG,8000,122027600,SFC-060SA2-17B-24B,1,RMB,135,,2301,MPTJ,OUT,深圳轴心,1190,180
MPSH,2,20211228,20220304,OUT,DAIDO-ROBOT,8000,,SFC-060SA2-24BH-25B,18,RMB,351,,2301,MPTJ,OUT,浙江芯晖,1140,181
MPSH,2,20211228,20220225,OUT,DAIDO-ROBOT,8000,,SFC-060SA2-24BH-25B,6,RMB,351,,2301,MPTJ,OUT,浙江芯晖,1140,182
MPSH,2,20211228,20220105,OUT,ACE,8000,,ALS-040ARN-14BHA-15BHA,6,RMB,71,,2202,MPTJ,OUT,,,183
MPSH,2,20211228,20220105,OUT,ACE,8000,121766200,SFC-050DA2-24B-24B,10,RMB,225,,2301,MPTJ,OUT,,,184
MPSH,2,20211228,20220105,OUT,ACE,8000,123019800,SFC-090SA2-30B-32B,24,RMB,333,,2301,MPTJ,OUT,,,185
